Dataset,Function,Best Binwidth,Best Bins,Best Accuracy,Best F1,Range,Gen Time (s),Memory (MB)
ENZYMES,harmonic,0.2,151,0.5111111111111111,0.511213162086818,30.3,2.668262243270874,2.077408790588379
ENZYMES,polynomial,0.05,76,0.5666666666666667,0.5605788982259571,3.81,2.6835310459136963,1.6923398971557615
IMDB-MULTI,harmonic,0.05,70,0.4933333333333333,0.4752545006782295,3.5,11.592118978500366,2.4103012084960938
IMDB-MULTI,polynomial,0.05,62,0.48,0.4677215915606008,3.1,9.96916651725769,2.1330957412719727
