func,binwidth,bins,range,embedding_dim,generation_time,memory_mb,classifier,accuracy,f1_score
harmonic,0.05,70,3.52,70,12.448342561721802,2.3019866943359375,Random Forest,0.48,0.46772159156060084
harmonic,0.1,35,3.52,35,11.151915311813354,1.5642709732055664,Random Forest,0.48,0.46652378780969755
harmonic,0.2,17,3.52,17,10.675155639648438,1.1851129531860352,Random Forest,0.4311111111111111,0.4218554028972137
harmonic,0.5,10,3.52,10,10.415485382080078,1.037461280822754,Random Forest,0.4577777777777778,0.44866342844405177
harmonic,1.0,10,3.52,10,9.980285167694092,1.037552833557129,Random Forest,0.4577777777777778,0.44866342844405177
polynomial,0.05,62,3.13,62,11.183448076248169,2.1333627700805664,Random Forest,0.4888888888888889,0.4776280094174831
polynomial,0.1,31,3.13,31,13.513835668563843,1.4799814224243164,Random Forest,0.4711111111111111,0.46223014458308576
polynomial,0.2,15,3.13,15,10.490106105804443,1.1428766250610352,Random Forest,0.4577777777777778,0.45059522669068003
polynomial,0.5,10,3.13,10,10.716641902923584,1.0375070571899414,Random Forest,0.44,0.43097643097643096
polynomial,1.0,10,3.13,10,14.901702642440796,1.0376062393188477,Random Forest,0.44,0.43097643097643096
