classifier,train_accuracy,accuracy,f1_score,auc,train_time,cv_score,best_params
Random Forest (Tuned),0.6305882352941177,0.5066666666666667,0.48759845818669345,0.6578074074074074,0.4578680992126465,0.5090196078431373,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500}"
SVM (RBF) (Tuned),0.5992156862745098,0.4666666666666667,0.45677469255537884,0.6124740740740741,1.7926506996154785,0.491764705882353,"{'svc__C': 1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}"
