func,with_node_labels,bins,range,generation_time,memory_mb,embedding_dim,classifier,train_accuracy,accuracy,f1_score,auc,train_time,harm_bins,harm_range,pol_bins,pol_range
harmonic,False,150.0,30.3,3.249199867248535,2.0695085525512695,150,SVM (RBF),0.907843137254902,0.45555555555555555,0.4507496917936622,0.7211851851851852,0.5036869049072266,,,,
harmonic,False,150.0,30.3,3.249199867248535,2.0695085525512695,150,Random Forest,1.0,0.4111111111111111,0.4124633377066636,0.7268888888888889,1.0375022888183594,,,,
harmonic,False,150.0,30.3,3.249199867248535,2.0695085525512695,150,MLP,0.38235294117647056,0.23333333333333334,0.1826099582184775,0.6472592592592593,1.9696929454803467,,,,
harmonic_with_labels,True,150.0,30.3,3.249199867248535,2.0695085525512695,153,SVM (RBF),0.9215686274509803,0.4222222222222222,0.4179172191342577,0.7294814814814815,0.5750455856323242,,,,
harmonic_with_labels,True,150.0,30.3,3.249199867248535,2.0695085525512695,153,Random Forest,1.0,0.5,0.4989985565972773,0.7651851851851853,1.2986488342285156,,,,
harmonic_with_labels,True,150.0,30.3,3.249199867248535,2.0695085525512695,153,MLP,0.4470588235294118,0.35555555555555557,0.3504951370468612,0.6377777777777779,2.0492324829101562,,,,
polynomial,False,50.0,3.81,3.5370919704437256,1.6008939743041992,50,SVM (RBF),0.884313725490196,0.34444444444444444,0.3316771011268165,0.6577777777777778,0.31335997581481934,,,,
polynomial,False,50.0,3.81,3.5370919704437256,1.6008939743041992,50,Random Forest,1.0,0.5,0.49920350457984874,0.7753333333333332,1.0967156887054443,,,,
polynomial,False,50.0,3.81,3.5370919704437256,1.6008939743041992,50,MLP,0.8470588235294118,0.3888888888888889,0.38813428813428813,0.7263703703703703,4.217301368713379,,,,
polynomial_with_labels,True,50.0,3.81,3.5370919704437256,1.6008939743041992,53,SVM (RBF),0.9411764705882353,0.4111111111111111,0.41069408532643825,0.7248888888888888,0.3200407028198242,,,,
polynomial_with_labels,True,50.0,3.81,3.5370919704437256,1.6008939743041992,53,Random Forest,1.0,0.5777777777777777,0.5769408831908833,0.8177777777777778,1.0886986255645752,,,,
polynomial_with_labels,True,50.0,3.81,3.5370919704437256,1.6008939743041992,53,MLP,0.8352941176470589,0.4111111111111111,0.41127499463857603,0.7475555555555555,4.362884759902954,,,,
polynomial,False,100.0,3.81,3.463731527328491,1.7767515182495117,100,SVM (RBF),0.9803921568627451,0.45555555555555555,0.4534151034151034,0.6714074074074073,0.39329051971435547,,,,
polynomial,False,100.0,3.81,3.463731527328491,1.7767515182495117,100,Random Forest,1.0,0.5333333333333333,0.5338587848932678,0.776,0.9751250743865967,,,,
polynomial,False,100.0,3.81,3.463731527328491,1.7767515182495117,100,MLP,0.4588235294117647,0.32222222222222224,0.31645885763948683,0.672,1.2890241146087646,,,,
