name,func,bins,range,n_neighbors,embed_time,method,ari,silhouette,harm_bins,harm_range,pol_bins,pol_range
harmonic_50_30,harmonic,50.0,30.0,5,1.8147516250610352,K-Means,0.027496523304433744,0.2939687409639079,,,,
harmonic_50_30,harmonic,50.0,30.0,5,1.8147516250610352,Spectral,0.03022896368269402,0.22959089112327205,,,,
harmonic_50_30,harmonic,50.0,30.0,10,1.8147516250610352,K-Means,0.027496523304433744,0.2939687409639079,,,,
harmonic_50_30,harmonic,50.0,30.0,10,1.8147516250610352,Spectral,0.04081754909391701,0.20810583243994962,,,,
harmonic_50_30,harmonic,50.0,30.0,15,1.8147516250610352,K-Means,0.027496523304433744,0.2939687409639079,,,,
harmonic_50_30,harmonic,50.0,30.0,15,1.8147516250610352,Spectral,0.040605555347768794,0.21013768750844847,,,,
harmonic_50_30,harmonic,50.0,30.0,20,1.8147516250610352,K-Means,0.027496523304433744,0.2939687409639079,,,,
harmonic_50_30,harmonic,50.0,30.0,20,1.8147516250610352,Spectral,0.03997681838341151,0.21076581618169732,,,,
harmonic_100_30,harmonic,100.0,30.0,5,4.30584716796875,K-Means,0.028685281214273113,0.27160905454294226,,,,
harmonic_100_30,harmonic,100.0,30.0,5,4.30584716796875,Spectral,0.03279072968862459,0.16482347763311553,,,,
harmonic_100_30,harmonic,100.0,30.0,10,4.30584716796875,K-Means,0.028685281214273113,0.27160905454294226,,,,
harmonic_100_30,harmonic,100.0,30.0,10,4.30584716796875,Spectral,0.03883553118237803,0.16921645907653168,,,,
harmonic_100_30,harmonic,100.0,30.0,15,4.30584716796875,K-Means,0.028685281214273113,0.27160905454294226,,,,
harmonic_100_30,harmonic,100.0,30.0,15,4.30584716796875,Spectral,0.03914868408044225,0.1573152029746808,,,,
harmonic_100_30,harmonic,100.0,30.0,20,4.30584716796875,K-Means,0.028685281214273113,0.27160905454294226,,,,
harmonic_100_30,harmonic,100.0,30.0,20,4.30584716796875,Spectral,0.03653020247686547,0.1581037531097714,,,,
polynomial_50_4,polynomial,50.0,4.0,5,6.22135329246521,K-Means,0.03387625233901922,0.16999607679244294,,,,
polynomial_50_4,polynomial,50.0,4.0,5,6.22135329246521,Spectral,0.019183031997553456,0.1567328876580446,,,,
polynomial_50_4,polynomial,50.0,4.0,10,6.22135329246521,K-Means,0.03387625233901922,0.16999607679244294,,,,
polynomial_50_4,polynomial,50.0,4.0,10,6.22135329246521,Spectral,0.024436685021892154,0.1564721534958218,,,,
polynomial_50_4,polynomial,50.0,4.0,15,6.22135329246521,K-Means,0.03387625233901922,0.16999607679244294,,,,
polynomial_50_4,polynomial,50.0,4.0,15,6.22135329246521,Spectral,0.026420510290784707,0.1684906327581361,,,,
polynomial_50_4,polynomial,50.0,4.0,20,6.22135329246521,K-Means,0.03387625233901922,0.16999607679244294,,,,
polynomial_50_4,polynomial,50.0,4.0,20,6.22135329246521,Spectral,0.02743383888312909,0.16800542196019047,,,,
polynomial_100_4,polynomial,100.0,4.0,5,3.1766114234924316,K-Means,0.018799523748719505,0.13085890796352426,,,,
polynomial_100_4,polynomial,100.0,4.0,5,3.1766114234924316,Spectral,0.015487710579995574,0.11473252934561576,,,,
polynomial_100_4,polynomial,100.0,4.0,10,3.1766114234924316,K-Means,0.018799523748719505,0.13085890796352426,,,,
polynomial_100_4,polynomial,100.0,4.0,10,3.1766114234924316,Spectral,0.02050876978396816,0.11851379590749933,,,,
polynomial_100_4,polynomial,100.0,4.0,15,3.1766114234924316,K-Means,0.018799523748719505,0.13085890796352426,,,,
polynomial_100_4,polynomial,100.0,4.0,15,3.1766114234924316,Spectral,0.01939968683525511,0.09951993538176192,,,,
polynomial_100_4,polynomial,100.0,4.0,20,3.1766114234924316,K-Means,0.018799523748719505,0.13085890796352426,,,,
polynomial_100_4,polynomial,100.0,4.0,20,3.1766114234924316,Spectral,0.01966138874512399,0.0992806432087353,,,,
naive_hybrid_100_30_100_4,hybrid,,,5,2.816934823989868,K-Means,0.03810249059194224,0.15145878289777343,100.0,30.0,100.0,4.0
naive_hybrid_100_30_100_4,hybrid,,,5,2.816934823989868,Spectral,0.03141982085855459,0.10063285751719624,100.0,30.0,100.0,4.0
naive_hybrid_100_30_100_4,hybrid,,,10,2.816934823989868,K-Means,0.03810249059194224,0.15145878289777343,100.0,30.0,100.0,4.0
naive_hybrid_100_30_100_4,hybrid,,,10,2.816934823989868,Spectral,0.028846705702208687,0.10751603443824186,100.0,30.0,100.0,4.0
naive_hybrid_100_30_100_4,hybrid,,,15,2.816934823989868,K-Means,0.03810249059194224,0.15145878289777343,100.0,30.0,100.0,4.0
naive_hybrid_100_30_100_4,hybrid,,,15,2.816934823989868,Spectral,0.029563820783260912,0.10897674837406716,100.0,30.0,100.0,4.0
naive_hybrid_100_30_100_4,hybrid,,,20,2.816934823989868,K-Means,0.03810249059194224,0.15145878289777343,100.0,30.0,100.0,4.0
naive_hybrid_100_30_100_4,hybrid,,,20,2.816934823989868,Spectral,0.033140208625571266,0.10887202100083769,100.0,30.0,100.0,4.0
