classifier,train_accuracy,accuracy,f1_score,auc,train_time,cv_score,best_params
Random Forest (Tuned),1.0,0.5777777777777777,0.5762464387464389,0.8195555555555556,0.4597024917602539,0.503921568627451,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500}"
SVM (RBF) (Tuned),0.9607843137254902,0.4888888888888889,0.48764078354595597,0.7591111111111112,0.15883255004882812,0.4588235294117647,"{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}"
