classifier,train_accuracy,accuracy,f1_score,auc,train_time,inference_time,func,harm_bins,harm_range,pol_bins,pol_range,generation_time,bins,range
SVM (RBF) + Scaler,0.9901960784313726,0.4666666666666667,0.4720773639179711,0.725037037037037,0.40504884719848633,0.012388944625854492,hybrid,100.0,33.0,100.0,4.1,1.3183903694152832,,
Random Forest,1.0,0.5555555555555556,0.5562711929647415,0.806,1.4143123626708984,0.03363537788391113,hybrid,100.0,33.0,100.0,4.1,1.3183903694152832,,
MLP,0.9588235294117647,0.4222222222222222,0.41962916819238655,0.74,31.986867666244507,0.026568889617919922,hybrid,100.0,33.0,100.0,4.1,1.3183903694152832,,
SVM (RBF) + Scaler,0.9882352941176471,0.43333333333333335,0.43923832159126275,0.6915555555555555,0.24832797050476074,0.007397651672363281,polynomial,,,,,1.3015336990356445,100.0,4.1
Random Forest,1.0,0.5444444444444444,0.5421175048626028,0.8036296296296297,1.2672553062438965,0.03818535804748535,polynomial,,,,,1.3015336990356445,100.0,4.1
MLP,0.9,0.45555555555555555,0.46004378762999454,0.766074074074074,24.681957721710205,0.022966384887695312,polynomial,,,,,1.3015336990356445,100.0,4.1
