func,bins,range,generation_time,memory_mb,embedding_dim,classifier,train_accuracy,accuracy,f1_score,auc,train_time,harm_bins,harm_range,pol_bins,pol_range
harmonic,50.0,3.52,9.17717695236206,1.880356788635254,50,SVM (RBF),0.6133333333333333,0.4488888888888889,0.4355350275059637,0.601362962962963,0.9969601631164551,,,,
harmonic,50.0,3.52,9.17717695236206,1.880356788635254,50,Random Forest,0.6376470588235295,0.4488888888888889,0.43403004154682007,0.6399407407407408,2.492920160293579,,,,
harmonic,50.0,3.52,9.17717695236206,1.880356788635254,50,MLP,0.5882352941176471,0.4622222222222222,0.44485754206913314,0.6153925925925926,1.626915693283081,,,,
harmonic,100.0,3.52,10.001372814178467,2.9340295791625977,100,SVM (RBF),0.6266666666666667,0.4533333333333333,0.4419006919006919,0.6267555555555555,2.2123515605926514,,,,
harmonic,100.0,3.52,10.001372814178467,2.9340295791625977,100,Random Forest,0.6376470588235295,0.4711111111111111,0.4573484524318927,0.6622518518518519,0.6433365345001221,,,,
harmonic,100.0,3.52,10.001372814178467,2.9340295791625977,100,MLP,0.5466666666666666,0.4622222222222222,0.44014314306280616,0.6184740740740741,0.4885225296020508,,,,
harmonic,150.0,3.52,11.814722299575806,3.9877405166625977,150,SVM (RBF),0.6298039215686274,0.4533333333333333,0.45061513459869984,0.6144296296296297,2.4430041313171387,,,,
harmonic,150.0,3.52,11.814722299575806,3.9877405166625977,150,Random Forest,0.636078431372549,0.4888888888888889,0.47412245647880213,0.6682074074074075,0.7823123931884766,,,,
harmonic,150.0,3.52,11.814722299575806,3.9877405166625977,150,MLP,0.5537254901960784,0.4311111111111111,0.4264936600042982,0.6429185185185186,1.0900981426239014,,,,
harmonic,200.0,3.52,10.61888074874878,5.041214942932129,200,SVM (RBF),0.6321568627450981,0.4622222222222222,0.4547427320754837,0.6093925925925925,4.311244249343872,,,,
harmonic,200.0,3.52,10.61888074874878,5.041214942932129,200,Random Forest,0.6352941176470588,0.48444444444444446,0.47035836478172127,0.6594962962962962,0.6058268547058105,,,,
harmonic,200.0,3.52,10.61888074874878,5.041214942932129,200,MLP,0.5537254901960784,0.4311111111111111,0.4190757575757576,0.6022518518518518,0.46208810806274414,,,,
harmonic,250.0,3.52,10.35530424118042,6.124581336975098,250,SVM (RBF),0.6329411764705882,0.4533333333333333,0.4439381173692332,0.6171555555555555,4.547971725463867,,,,
harmonic,250.0,3.52,10.35530424118042,6.124581336975098,250,Random Forest,0.6352941176470588,0.4622222222222222,0.4477576016520686,0.6637925925925926,2.0122482776641846,,,,
harmonic,250.0,3.52,10.35530424118042,6.124581336975098,250,MLP,0.6172549019607844,0.48,0.46157300760032577,0.6259407407407408,0.721545934677124,,,,
polynomial,50.0,3.13,9.938297986984253,1.8804101943969727,50,SVM (RBF),0.6313725490196078,0.4577777777777778,0.4456056090950097,0.6278518518518519,0.7269711494445801,,,,
