config_name,normalization,pca_variance,pca_components,kmeans_n_init,spectral_n_neighbors,spectral_affinity,method,ari,silhouette,umap_ari,umap_silhouette,embed_time,func,bins,range,harm_bins,harm_range,pol_bins,pol_range
harmonic_150_3.52,standard,0.95,64,10,15,nearest_neighbors,Spectral,0.004981478298750313,-0.05376609772547732,0.01704912441791082,0.12072056,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.95,64,10,20,nearest_neighbors,K-Means,0.0008431125899333917,0.6484786203921937,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.95,64,10,20,nearest_neighbors,Spectral,0.004030187293062349,0.04192142645324841,0.00029034791894006303,-0.2428997,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.95,64,50,10,nearest_neighbors,K-Means,0.0009881893777527115,0.6464986436729109,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.95,64,50,10,nearest_neighbors,Spectral,0.005745372474584691,-0.06466091148283258,0.005201485457909797,-0.10480001,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.95,64,50,15,nearest_neighbors,K-Means,0.0009881893777527115,0.6464986436729109,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.95,64,50,15,nearest_neighbors,Spectral,0.004981478298750313,-0.05376609772547732,0.010772047837313862,0.20984219,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.95,64,50,20,nearest_neighbors,K-Means,0.0009881893777527115,0.6464986436729109,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.95,64,50,20,nearest_neighbors,Spectral,0.004030187293062349,0.04192142645324841,0.00029034791894006303,-0.2428997,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.99,78,10,10,nearest_neighbors,K-Means,0.0010016862173258595,0.6608789710452264,0.006248764257716505,0.5090195,2.8140711784362793,harmonic,150.0,3.52,,,,
harmonic_150_3.52,standard,0.99,78,10,10,nearest_neighbors,Spectral,0.005745372474584691,-0.06746127089799098,0.0018439625828185703,-0.22358006,2.8140711784362793,harmonic,150.0,3.52,,,,
