ratio,func,with_node_labels,mean_cosine_similarity,std_cosine_similarity,min_cosine_similarity,median_cosine_similarity,mean_l2_distance,mean_relative_change,std_relative_change,rf_acc_original,rf_acc_perturbed,rf_acc_drop,rf_acc_drop_pct,bins,range,harm_bins,harm_range,pol_bins,pol_range
0.01,harmonic,False,0.8467858259052975,0.12044459526865527,0.3454393744549999,0.8724672287757644,87.07295842955595,0.5566647455061448,0.2629389886259975,0.4222222222222222,0.4222222222222222,0.0,0.0,150.0,30.3,,,,
0.05,harmonic,False,0.8138771038122948,0.1180499313363228,0.3454393744549999,0.8291577962867782,113.04540676630793,0.6548330551240649,0.26234995092613744,0.4222222222222222,0.32222222222222224,0.09999999999999998,23.684210526315784,150.0,30.3,,,,
0.1,harmonic,False,0.7561278434795297,0.12106582209692321,0.27495554969833813,0.7616586464537609,151.0505284640515,0.8349627903007487,0.2969045966507499,0.4222222222222222,0.3,0.12222222222222223,28.947368421052634,150.0,30.3,,,,
0.2,harmonic,False,0.6750836151875411,0.12877242288403098,0.2550445930708176,0.6768573800381694,211.40673298733327,1.1208877770707524,0.3901019098139904,0.4222222222222222,0.24444444444444444,0.17777777777777778,42.10526315789474,150.0,30.3,,,,
0.01,harmonic_with_labels,True,0.8513597346212632,0.11583061602278487,0.37430307513357675,0.8751258761887375,87.07295842955595,0.5477840742173519,0.2568459991736902,0.4777777777777778,0.4888888888888889,-0.011111111111111072,-2.325581395348829,150.0,30.3,,,,
0.05,harmonic_with_labels,True,0.8188915205520657,0.11380903068096032,0.37430307513357675,0.8328030827818267,113.04540676630793,0.6449244771761816,0.2567948309330726,0.4777777777777778,0.32222222222222224,0.15555555555555556,32.558139534883715,150.0,30.3,,,,
0.1,harmonic_with_labels,True,0.7617430159552898,0.11718560844592953,0.2843843861681969,0.7674389150995196,151.0505284640515,0.8228217970850481,0.2915492329927001,0.4777777777777778,0.37777777777777777,0.10000000000000003,20.93023255813954,150.0,30.3,,,,
0.2,harmonic_with_labels,True,0.6809715186181217,0.12573513864955285,0.2645924510665437,0.6803655816414176,211.40673298733327,1.1050833515192997,0.3846404541456618,0.4777777777777778,0.34444444444444444,0.13333333333333336,27.906976744186053,150.0,30.3,,,,
0.01,polynomial,False,0.9415905978025133,0.10509468631009539,0.13315591032282686,0.978788312228772,63.71510361834116,0.270493683039827,0.2012819609949911,0.5111111111111111,0.5,0.011111111111111072,2.173913043478253,150.0,3.81,,,,
0.05,polynomial,False,0.9321581503720362,0.10369101621209026,0.13315591032282686,0.9679683801183743,89.77501365913854,0.3105467000388806,0.1905716109615152,0.5111111111111111,0.34444444444444444,0.16666666666666663,32.60869565217391,150.0,3.81,,,,
0.1,polynomial,False,0.9032970426737786,0.10883520475365638,0.13315591032282686,0.9398477599712876,118.15788011616831,0.38814768442417436,0.18980465012473569,0.5111111111111111,0.3333333333333333,0.17777777777777776,34.78260869565217,150.0,3.81,,,,
0.2,polynomial,False,0.8655465921760359,0.12240706369791793,0.19090909090909094,0.9057182805443218,151.58236564323613,0.4657705204388418,0.1955369939956884,0.5111111111111111,0.25555555555555554,0.25555555555555554,50.0,150.0,3.81,,,,
0.01,polynomial_with_labels,True,0.944010942825602,0.09823712890640042,0.18698939800169145,0.9789729771313957,63.71510361834116,0.26706887675289637,0.19463759047498477,0.5444444444444444,0.4777777777777778,0.0666666666666666,12.244897959183662,150.0,3.81,,,,
0.05,polynomial_with_labels,True,0.9346391062592283,0.09692440655283316,0.18698939800169145,0.9681233875026221,89.77501365913854,0.30701952691928625,0.18412808886016185,0.5444444444444444,0.4444444444444444,0.09999999999999998,18.36734693877551,150.0,3.81,,,,
0.1,polynomial_with_labels,True,0.9062068962625076,0.10212886285826941,0.18698939800169145,0.9402977765721973,118.15788011616831,0.3842457915457465,0.18378867567341212,0.5444444444444444,0.4111111111111111,0.1333333333333333,24.489795918367342,150.0,3.81,,,,
0.2,polynomial_with_labels,True,0.8691824126083105,0.11504037742760952,0.2457627118644068,0.9062830164036288,151.58236564323613,0.46139600457735364,0.18952307946534572,0.5444444444444444,0.4,0.14444444444444438,26.53061224489795,150.0,3.81,,,,
0.01,naive_hybrid,False,0.9216253506016497,0.09053219002605192,0.28197623100839153,0.9529133334681922,110.95461380288516,0.3537461744480668,0.18533797207829816,0.5,0.4444444444444444,0.05555555555555558,11.111111111111116,,,150.0,30.3,150.0,3.81
0.05,naive_hybrid,False,0.9039738598823157,0.08664830473551932,0.28197623100839153,0.930331575070647,148.5693790260358,0.40987142726679127,0.16676661711027874,0.5,0.3333333333333333,0.16666666666666669,33.333333333333336,,,150.0,30.3,150.0,3.81
0.1,naive_hybrid,False,0.8589251999192448,0.08691658313614323,0.28197623100839153,0.8783723958239499,197.72652494863058,0.5167927736208617,0.15159205713803983,0.5,0.3333333333333333,0.16666666666666669,33.333333333333336,,,150.0,30.3,150.0,3.81
0.2,naive_hybrid,False,0.7853466343311997,0.09488981967449348,0.36385921794203013,0.7968526199321899,268.84112991093724,0.6617557080575606,0.1513113739791212,0.5,0.28888888888888886,0.21111111111111114,42.22222222222223,,,150.0,30.3,150.0,3.81
0.01,naive_hybrid_with_labels,True,0.9227792339874425,0.0881784402401691,0.3000911642842779,0.9530187917192686,110.95461380288516,0.35179172005702175,0.1827900880884808,0.5111111111111111,0.4444444444444444,0.06666666666666665,13.043478260869563,,,150.0,30.3,150.0,3.81
