ratio,func,mean_cosine_similarity,std_cosine_similarity,min_cosine_similarity,median_cosine_similarity,mean_l2_distance,mean_relative_change,std_relative_change,rf_acc_original,rf_acc_perturbed,rf_acc_drop,rf_acc_drop_pct,bins,range,harm_bins,harm_range,pol_bins,pol_range
0.01,harmonic,0.7900415992791737,0.28076913999990977,0.10363180256578926,0.9999999999999998,46.02851373407199,0.38831791843412417,0.46463376589867045,0.4666666666666667,0.4666666666666667,0.0,0.0,50.0,3.5,,,,
0.05,harmonic,0.7814072985894049,0.28118404256944673,0.11618557877624788,0.9997457501110669,58.56154909149366,0.4011344687967793,0.45698897813341427,0.4666666666666667,0.4488888888888889,0.01777777777777778,3.8095238095238098,50.0,3.5,,,,
0.1,harmonic,0.7522872884278292,0.2960495428442408,0.08896972033404289,0.9930450262759827,68.16474864573175,0.45273820239692397,0.44860812227447583,0.4666666666666667,0.4488888888888889,0.01777777777777778,3.8095238095238098,50.0,3.5,,,,
0.2,harmonic,0.7174880104933844,0.32909277760839,0.034880021997557506,0.9922878537174505,76.06066482603715,0.4846920015978547,0.469423421483023,0.4666666666666667,0.5066666666666667,-0.040000000000000036,-8.571428571428578,50.0,3.5,,,,
0.01,polynomial,0.8900420787356338,0.21440546886605674,0.04634049658718489,0.9999999999999998,24.321866267132826,0.25404916014957446,0.35324135323809175,0.49777777777777776,0.5022222222222222,-0.004444444444444473,-0.8928571428571487,100.0,3.1,,,,
0.05,polynomial,0.8636989557096711,0.21293496898636904,0.04634049658718489,0.9624964493167614,47.01547814254756,0.33618573429034204,0.3548884771375072,0.49777777777777776,0.4711111111111111,0.026666666666666672,5.3571428571428585,100.0,3.1,,,,
0.1,polynomial,0.7524422002777846,0.21740393601446267,0.04634049658718489,0.7845991683160771,70.16078508178389,0.5633454071543907,0.3157683674459317,0.49777777777777776,0.4711111111111111,0.026666666666666672,5.3571428571428585,100.0,3.1,,,,
0.2,polynomial,0.6612374733595991,0.25973985805078575,0.033005522073313254,0.7148720927074365,85.7915063512596,0.6437605216820017,0.3390029996078717,0.49777777777777776,0.48444444444444446,0.013333333333333308,2.6785714285714235,100.0,3.1,,,,
0.01,hybrid,0.8424176604046069,0.22647059690320373,0.18567010987240704,0.9999999999999998,54.022943099758784,0.3319597828480329,0.3997744793566089,0.48444444444444446,0.4888888888888889,-0.0044444444444444176,-0.917431192660545,,,50.0,3.5,100.0,3.1
0.05,hybrid,0.8256923562752957,0.22278039598403085,0.18567010987240704,0.9452236880082426,80.995961654314,0.38408002365819616,0.38631603506193735,0.48444444444444446,0.4622222222222222,0.022222222222222254,4.5871559633027585,,,50.0,3.5,100.0,3.1
0.1,hybrid,0.7553139438039446,0.22145930376352252,0.15265106626695174,0.8564268740994911,106.48758019014105,0.5509154779398437,0.3233260728879504,0.48444444444444446,0.4577777777777778,0.026666666666666672,5.5045871559633035,,,50.0,3.5,100.0,3.1
0.2,hybrid,0.6945524195790989,0.2581646969230935,0.13020972517570262,0.7959506773345046,123.2569423931633,0.6074763804274083,0.34578838008720914,0.48444444444444446,0.5022222222222222,-0.01777777777777778,-3.669724770642203,,,50.0,3.5,100.0,3.1
