func,bins,range,embedding_dim,generation_time,memory_mb,classifier,train_accuracy,accuracy,f1_score,auc,train_time
harmonic,50,3.5,50,5.897028923034668,1.8805160522460938,SVM (RBF),0.6235294117647059,0.4488888888888889,0.43370392137656316,0.6203851851851853,0.6210546493530273
harmonic,50,3.5,50,5.897028923034668,1.8805160522460938,Random Forest,0.6525490196078432,0.4666666666666667,0.44885057471264367,0.6514962962962964,0.47339534759521484
harmonic,50,3.5,50,5.897028923034668,1.8805160522460938,MLP,0.5835294117647059,0.49333333333333335,0.4786355233786777,0.6524296296296297,0.5403046607971191
harmonic,100,3.5,100,5.540280818939209,2.9338464736938477,SVM (RBF),0.6321568627450981,0.4577777777777778,0.4486053411268377,0.6218370370370372,1.02601957321167
harmonic,100,3.5,100,5.540280818939209,2.9338464736938477,Random Forest,0.6525490196078432,0.4711111111111111,0.4533104390532108,0.6517925925925926,0.48348021507263184
harmonic,100,3.5,100,5.540280818939209,2.9338464736938477,MLP,0.6078431372549019,0.4711111111111111,0.45217304099148314,0.6288888888888887,0.7625689506530762
harmonic,200,3.5,200,6.67997407913208,5.041085243225098,SVM (RBF),0.64,0.4311111111111111,0.42462600690448793,0.5947851851851851,1.8633191585540771
harmonic,200,3.5,200,6.67997407913208,5.041085243225098,Random Forest,0.6525490196078432,0.48,0.4655145314806332,0.6542814814814814,0.48861002922058105
harmonic,200,3.5,200,6.67997407913208,5.041085243225098,MLP,0.5403921568627451,0.4177777777777778,0.4159846557223058,0.5990518518518518,0.31888890266418457
polynomial,50,3.1,50,6.410208225250244,1.8802270889282227,SVM (RBF),0.6313725490196078,0.4577777777777778,0.44998706004140787,0.6370074074074075,0.660414457321167
polynomial,50,3.1,50,6.410208225250244,1.8802270889282227,Random Forest,0.6376470588235295,0.48,0.46479537534503784,0.6634666666666668,0.46521925926208496
polynomial,50,3.1,50,6.410208225250244,1.8802270889282227,MLP,0.6109803921568627,0.4577777777777778,0.44244250834546445,0.6208148148148148,0.857161283493042
polynomial,100,3.1,100,6.48019003868103,2.9338464736938477,SVM (RBF),0.636078431372549,0.44,0.42825009716284496,0.6237037037037038,1.018179178237915
polynomial,100,3.1,100,6.48019003868103,2.9338464736938477,Random Forest,0.6376470588235295,0.49777777777777776,0.4837835367833225,0.6620148148148147,0.47107386589050293
polynomial,100,3.1,100,6.48019003868103,2.9338464736938477,MLP,0.6149019607843137,0.4266666666666667,0.4193859336597117,0.5990518518518518,0.7633919715881348
polynomial,200,3.1,200,6.648465633392334,5.041085243225098,SVM (RBF),0.6376470588235295,0.48444444444444446,0.47243826738563577,0.6247111111111111,1.8803675174713135
polynomial,200,3.1,200,6.648465633392334,5.041085243225098,Random Forest,0.6376470588235295,0.4888888888888889,0.47113061968495673,0.6706666666666665,0.492417573928833
polynomial,200,3.1,200,6.648465633392334,5.041085243225098,MLP,0.6250980392156863,0.48,0.46176649166041644,0.6290962962962964,0.9223542213439941
