classifier,train_accuracy,accuracy,f1_score,auc,train_time,inference_time,func,harm_bins,harm_range,pol_bins,pol_range,generation_time
SVM (RBF) + Scaler,0.9862745098039216,0.4666666666666667,0.4646548413581228,0.7202962962962963,0.4229855537414551,0.012073516845703125,hybrid,100,33,100,4.1,1.466362476348877
Random Forest,1.0,0.5111111111111111,0.5117071094082588,0.7842962962962964,1.5482821464538574,0.03550601005554199,hybrid,100,33,100,4.1,1.466362476348877
MLP,0.9117647058823529,0.5,0.4881456784243162,0.7517037037037038,24.401479721069336,0.02011871337890625,hybrid,100,33,100,4.1,1.466362476348877
