classifier,train_accuracy,accuracy,f1_score,auc,train_time,inference_time,func,harm_bins,harm_range,pol_bins,pol_range,generation_time,bins,range
SVM (RBF) + Scaler,0.9921568627450981,0.45555555555555555,0.46149342625070017,0.725037037037037,0.581244945526123,0.016401290893554688,hybrid,100.0,33.0,100.0,4.1,4.464597225189209,,
Random Forest,1.0,0.5555555555555556,0.5583765549230445,0.8005925925925925,1.5541210174560547,0.036350250244140625,hybrid,100.0,33.0,100.0,4.1,4.464597225189209,,
MLP,0.9137254901960784,0.4444444444444444,0.43980402313735645,0.7542222222222223,5.462317943572998,0.0030422210693359375,hybrid,100.0,33.0,100.0,4.1,4.464597225189209,,
SVM (RBF) + Scaler,0.9882352941176471,0.43333333333333335,0.43923832159126275,0.6918518518518518,0.3231773376464844,0.010121583938598633,polynomial,,,,,3.50534725189209,100.0,4.1
Random Forest,1.0,0.5444444444444444,0.5429318789533844,0.8017037037037037,1.1637294292449951,0.0388643741607666,polynomial,,,,,3.50534725189209,100.0,4.1
MLP,0.9450980392156862,0.4777777777777778,0.47941342381242924,0.733925925925926,6.972494602203369,0.0024619102478027344,polynomial,,,,,3.50534725189209,100.0,4.1
