classifier,train_accuracy,accuracy,f1_score,auc,train_time,inference_time,func,harm_bins,harm_range,pol_bins,pol_range,generation_time,bins,range
SVM (RBF) + Scaler,0.6486274509803922,0.4488888888888889,0.4403174603174604,0.6088888888888889,3.102769613265991,0.11928009986877441,hybrid,100.0,3.5,200.0,3.5,8.913169860839844,,
Random Forest,0.6541176470588236,0.47555555555555556,0.4607086999022483,0.6614222222222222,6.3754236698150635,0.16674160957336426,hybrid,100.0,3.5,200.0,3.5,8.913169860839844,,
MLP,0.6211764705882353,0.4666666666666667,0.4464272276167728,0.6554962962962964,13.865321397781372,0.012429475784301758,hybrid,100.0,3.5,200.0,3.5,8.913169860839844,,
SVM (RBF) + Scaler,0.6376470588235295,0.48444444444444446,0.47243826738563577,0.6247111111111111,2.4002130031585693,0.07898354530334473,polynomial,,,,,10.395635843276978,200.0,3.1
Random Forest,0.6376470588235295,0.49777777777777776,0.48405225093495025,0.6694814814814815,6.2461097240448,0.2879831790924072,polynomial,,,,,10.395635843276978,200.0,3.1
MLP,0.5584313725490196,0.4222222222222222,0.42373631270690093,0.6234962962962964,16.5605525970459,0.012202739715576172,polynomial,,,,,10.395635843276978,200.0,3.1
SVM (RBF) + Scaler,0.6384313725490196,0.47555555555555556,0.4623750734861847,0.6193185185185185,1.2795078754425049,0.03839516639709473,harmonic,,,,,9.51444935798645,100.0,3.5
Random Forest,0.6525490196078432,0.47555555555555556,0.4605232995436516,0.6527407407407407,4.911717414855957,0.27442073822021484,harmonic,,,,,9.51444935798645,100.0,3.5
MLP,0.6274509803921569,0.48,0.45745104640954565,0.6263703703703702,19.44887375831604,0.010452747344970703,harmonic,,,,,9.51444935798645,100.0,3.5
