ratio,perturbation_type,perturb_time,embed_time,mean_cosine_similarity,std_cosine_similarity,min_cosine_similarity,median_cosine_similarity,mean_l2_distance,mean_relative_change,std_relative_change,rf_acc_original,rf_acc_perturbed,rf_acc_drop,rf_acc_drop_pct,func,with_node_labels,raw_mode,bins,range,harm_bins,harm_range,pol_bins,pol_range
0.01,edge_add,0.23773884773254395,1.343644618988037,0.8467858259052975,0.12044459526865527,0.3454393744549999,0.8724672287757644,87.07295842955595,0.5566647455061448,0.2629389886259975,0.4222222222222222,0.4222222222222222,0.0,0.0,harmonic,False,True,150.0,30.3,,,,
0.05,edge_add,0.13896465301513672,1.2583143711090088,0.7725601920962945,0.12113153415870752,0.2263744982366249,0.7810972283802469,149.86779851212466,0.797638929408916,0.3010489651798266,0.4222222222222222,0.35555555555555557,0.06666666666666665,15.789473684210522,harmonic,False,True,150.0,30.3,,,,
0.1,edge_add,0.16964435577392578,1.2879250049591064,0.6783267344032611,0.12588551094168648,0.19357690784480333,0.6769105615040745,223.36798864494276,1.1309256660859035,0.39084962608425816,0.4222222222222222,0.28888888888888886,0.13333333333333336,31.578947368421055,harmonic,False,True,150.0,30.3,,,,
0.2,edge_add,0.20014643669128418,1.257150411605835,0.5601680606722031,0.1349692623540773,0.23381600380573853,0.5522809050976376,337.74687164102664,1.669093797757064,0.5760700702588583,0.4222222222222222,0.3,0.12222222222222223,28.947368421052634,harmonic,False,True,150.0,30.3,,,,
0.01,edge_remove,0.1323108673095703,1.3024935722351074,0.9216022387354589,0.0856410402025998,0.362433166310166,0.9489551911642597,50.42772895450226,0.34978216740467877,0.19551097156542033,0.4222222222222222,0.37777777777777777,0.04444444444444445,10.526315789473687,harmonic,False,True,150.0,30.3,,,,
0.05,edge_remove,0.11897492408752441,1.3540327548980713,0.8852907285469591,0.088568673891019,0.362433166310166,0.9093937185773606,74.15427650972781,0.4512584156450619,0.19082473174478884,0.4222222222222222,0.3333333333333333,0.0888888888888889,21.052631578947373,harmonic,False,True,150.0,30.3,,,,
0.1,edge_remove,0.14411473274230957,1.4838364124298096,0.8438794987612429,0.09975955373151724,0.2777168055461622,0.8707848066991094,90.64936727808892,0.5402345120749242,0.20522732632899696,0.4222222222222222,0.32222222222222224,0.09999999999999998,23.684210526315784,harmonic,False,True,150.0,30.3,,,,
0.2,edge_remove,0.13164019584655762,1.278304100036621,0.7849193240059157,0.11629583875599765,0.2767424331653302,0.8147822382344172,116.06999894056149,0.6667501664005779,0.2657254381206835,0.4222222222222222,0.28888888888888886,0.13333333333333336,31.578947368421055,harmonic,False,True,150.0,30.3,,,,
1.0,node_shuffle,0.11006283760070801,1.2803318500518799,1.0,1.194887469780762e-16,0.9999999999999997,1.0,0.0,0.0,0.0,0.4222222222222222,0.4222222222222222,0.0,0.0,harmonic,False,True,150.0,30.3,,,,
0.01,edge_add,0.24531912803649902,1.3172779083251953,0.8467858259052975,0.12044459526865527,0.3454393744549999,0.8724672287757644,87.07295842955595,0.5566647455061448,0.2629389886259975,0.4222222222222222,0.4222222222222222,0.0,0.0,harmonic_with_labels,True,True,150.0,30.3,,,,
0.05,edge_add,0.1325366497039795,1.3532700538635254,0.7725601920962945,0.12113153415870752,0.2263744982366249,0.7810972283802469,149.86779851212466,0.797638929408916,0.3010489651798266,0.4222222222222222,0.35555555555555557,0.06666666666666665,15.789473684210522,harmonic_with_labels,True,True,150.0,30.3,,,,
0.1,edge_add,0.18923258781433105,1.5309550762176514,0.6783267344032611,0.12588551094168648,0.19357690784480333,0.6769105615040745,223.36798864494276,1.1309256660859035,0.39084962608425816,0.4222222222222222,0.28888888888888886,0.13333333333333336,31.578947368421055,harmonic_with_labels,True,True,150.0,30.3,,,,
0.2,edge_add,0.22439217567443848,1.4329471588134766,0.5601680606722031,0.1349692623540773,0.23381600380573853,0.5522809050976376,337.74687164102664,1.669093797757064,0.5760700702588583,0.4222222222222222,0.3,0.12222222222222223,28.947368421052634,harmonic_with_labels,True,True,150.0,30.3,,,,
0.01,edge_remove,0.13712716102600098,1.4105393886566162,0.9216022387354589,0.0856410402025998,0.362433166310166,0.9489551911642597,50.42772895450226,0.34978216740467877,0.19551097156542033,0.4222222222222222,0.37777777777777777,0.04444444444444445,10.526315789473687,harmonic_with_labels,True,True,150.0,30.3,,,,
0.05,edge_remove,0.17451882362365723,1.4306182861328125,0.8852907285469591,0.088568673891019,0.362433166310166,0.9093937185773606,74.15427650972781,0.4512584156450619,0.19082473174478884,0.4222222222222222,0.3333333333333333,0.0888888888888889,21.052631578947373,harmonic_with_labels,True,True,150.0,30.3,,,,
0.1,edge_remove,0.1459968090057373,1.3522164821624756,0.8438794987612429,0.09975955373151724,0.2777168055461622,0.8707848066991094,90.64936727808892,0.5402345120749242,0.20522732632899696,0.4222222222222222,0.32222222222222224,0.09999999999999998,23.684210526315784,harmonic_with_labels,True,True,150.0,30.3,,,,
0.2,edge_remove,0.14790749549865723,1.3724479675292969,0.7849193240059157,0.11629583875599765,0.2767424331653302,0.8147822382344172,116.06999894056149,0.6667501664005779,0.2657254381206835,0.4222222222222222,0.28888888888888886,0.13333333333333336,31.578947368421055,harmonic_with_labels,True,True,150.0,30.3,,,,
1.0,node_shuffle,0.12221193313598633,1.6187903881072998,1.0,1.194887469780762e-16,0.9999999999999997,1.0,0.0,0.0,0.0,0.4222222222222222,0.4222222222222222,0.0,0.0,harmonic_with_labels,True,True,150.0,30.3,,,,
