func,with_node_labels,bins,range,generation_time,memory_mb,embedding_dim,classifier,train_accuracy,accuracy,f1_score,auc,train_time,harm_bins,harm_range,pol_bins,pol_range
harmonic,False,50.0,30.3,3.12862491607666,1.583876609802246,50,SVM (RBF) Raw,0.6254901960784314,0.34444444444444444,0.33354376603376273,0.6679999999999999,0.26215553283691406,,,,
harmonic,False,50.0,30.3,3.12862491607666,1.583876609802246,50,Random Forest Raw,1.0,0.43333333333333335,0.43082241034827246,0.7437037037037035,1.0643839836120605,,,,
harmonic,False,50.0,30.3,3.12862491607666,1.583876609802246,50,MLP Raw,0.37058823529411766,0.37777777777777777,0.37037795239408144,0.6912592592592594,2.550055980682373,,,,
harmonic_with_labels,True,50.0,30.3,3.12862491607666,1.583876609802246,53,SVM (RBF) Raw,0.6509803921568628,0.37777777777777777,0.3686381603048269,0.6808888888888889,0.2917003631591797,,,,
harmonic_with_labels,True,50.0,30.3,3.12862491607666,1.583876609802246,53,Random Forest Raw,1.0,0.5222222222222223,0.5227125920674308,0.794,1.3120737075805664,,,,
harmonic_with_labels,True,50.0,30.3,3.12862491607666,1.583876609802246,53,MLP Raw,0.4117647058823529,0.3111111111111111,0.29567823480866956,0.6614814814814814,4.040107011795044,,,,
harmonic,False,100.0,30.3,4.045589447021484,1.7597036361694336,100,SVM (RBF) Raw,0.7411764705882353,0.3333333333333333,0.3308221825948257,0.6962962962962963,0.38050007820129395,,,,
harmonic,False,100.0,30.3,4.045589447021484,1.7597036361694336,100,Random Forest Raw,1.0,0.4444444444444444,0.44307979953141235,0.7433333333333333,1.5135831832885742,,,,
harmonic,False,100.0,30.3,4.045589447021484,1.7597036361694336,100,MLP Raw,0.28823529411764703,0.28888888888888886,0.22695175438596493,0.5842962962962963,2.8541440963745117,,,,
harmonic_with_labels,True,100.0,30.3,4.045589447021484,1.7597036361694336,103,SVM (RBF) Raw,0.7607843137254902,0.36666666666666664,0.3629490637205945,0.7091851851851853,0.4000823497772217,,,,
harmonic_with_labels,True,100.0,30.3,4.045589447021484,1.7597036361694336,103,Random Forest Raw,1.0,0.4888888888888889,0.4918562685239713,0.7874074074074074,1.3273837566375732,,,,
harmonic_with_labels,True,100.0,30.3,4.045589447021484,1.7597036361694336,103,MLP Raw,0.2549019607843137,0.2222222222222222,0.1108326371484266,0.5334814814814814,2.35672664642334,,,,
harmonic,False,150.0,30.3,4.5491461753845215,2.0695085525512695,150,SVM (RBF) Raw,0.8607843137254902,0.37777777777777777,0.376781419050607,0.7028148148148149,0.5131974220275879,,,,
harmonic,False,150.0,30.3,4.5491461753845215,2.0695085525512695,150,Random Forest Raw,1.0,0.4111111111111111,0.4124633377066636,0.7268888888888889,1.236734390258789,,,,
harmonic,False,150.0,30.3,4.5491461753845215,2.0695085525512695,150,MLP Raw,0.8215686274509804,0.36666666666666664,0.3597867564534231,0.6828148148148148,5.268051862716675,,,,
harmonic_with_labels,True,150.0,30.3,4.5491461753845215,2.0695085525512695,153,SVM (RBF) Raw,0.8666666666666667,0.4222222222222222,0.417448376775165,0.7154074074074075,0.485278844833374,,,,
harmonic_with_labels,True,150.0,30.3,4.5491461753845215,2.0695085525512695,153,Random Forest Raw,1.0,0.5,0.4989985565972773,0.7651851851851853,1.1047203540802002,,,,
harmonic_with_labels,True,150.0,30.3,4.5491461753845215,2.0695085525512695,153,MLP Raw,0.4843137254901961,0.26666666666666666,0.22977400188794492,0.6291851851851853,3.0548250675201416,,,,
harmonic,False,200.0,30.3,3.4463236331939697,2.4631853103637695,200,SVM (RBF) Raw,0.8901960784313725,0.36666666666666664,0.3641734808401475,0.6792592592592592,0.6430237293243408,,,,
harmonic,False,200.0,30.3,3.4463236331939697,2.4631853103637695,200,Random Forest Raw,1.0,0.4444444444444444,0.4471499672000228,0.7520000000000001,1.1187260150909424,,,,
harmonic,False,200.0,30.3,3.4463236331939697,2.4631853103637695,200,MLP Raw,0.807843137254902,0.4,0.3838411699538702,0.7042962962962963,4.618571043014526,,,,
harmonic_with_labels,True,200.0,30.3,3.4463236331939697,2.4631853103637695,203,SVM (RBF) Raw,0.8960784313725491,0.3888888888888889,0.3850460723009742,0.7131851851851851,0.6129863262176514,,,,
harmonic_with_labels,True,200.0,30.3,3.4463236331939697,2.4631853103637695,203,Random Forest Raw,1.0,0.4444444444444444,0.44419229758809137,0.7723703703703704,1.2712981700897217,,,,
harmonic_with_labels,True,200.0,30.3,3.4463236331939697,2.4631853103637695,203,MLP Raw,0.44901960784313727,0.25555555555555554,0.229853080833473,0.601037037037037,4.760117769241333,,,,
harmonic,False,250.0,30.3,3.593277931213379,2.8568620681762695,250,SVM (RBF) Raw,0.8901960784313725,0.37777777777777777,0.3747992842621999,0.6622222222222222,0.7593550682067871,,,,
harmonic,False,250.0,30.3,3.593277931213379,2.8568620681762695,250,Random Forest Raw,1.0,0.45555555555555555,0.45320366362033027,0.7229629629629629,1.3375747203826904,,,,
harmonic,False,250.0,30.3,3.593277931213379,2.8568620681762695,250,MLP Raw,0.4764705882352941,0.28888888888888886,0.2725671347622567,0.6484444444444445,3.0708086490631104,,,,
harmonic_with_labels,True,250.0,30.3,3.593277931213379,2.8568620681762695,253,SVM (RBF) Raw,0.8901960784313725,0.34444444444444444,0.3422388568221902,0.6939259259259258,0.7368130683898926,,,,
